CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
5490; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
5501; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5541; -   ; -   ; -   ; -   ; 3 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 7 
5543; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5576; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5579; -   ; -   ; -   ; 4 ; 3 ; 11 ; 8 ; 1 ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 32 
5585; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5591; -   ; -   ; 1 ; -   ; -   ; 3 ; 1 ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 
5604; -   ; -   ; -   ; 2 ; 7 ; 10 ; 1 ; 3 ; -   ; 4 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 29 
5607; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5615; 1 ; -   ; -   ; -   ; 1 ; 3 ; 5 ; -   ; 5 ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 19 
5628; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5631; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5642; -   ; -   ; 1 ; 2 ; -   ; 3 ; 2 ; 2 ; 3 ; 2 ; -   ; 1 ; -   ; 3 ; -   ; -   ; -   ; -   ; 19 
5647; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
5649; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 3 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
5652; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
5656; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5659; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5660; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
5664; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; 2 ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
5667; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 7 
5670; -   ; -   ; -   ; 1 ; -   ; 3 ; 1 ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 
5674; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 4 
5679; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 9 
5042; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 7 
5686; -   ; -   ; -   ; -   ; -   ; 3 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 7 
