CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
13212,Córdoba,-,1,1,-,-,-,-,-,-,1,0,16.929067208396816,11.428571428571429,0,0,0,-,-,-,6.070171178827243
13244,El Carmen de Bolívar,1,22,23,-,-,-,-,-,-,23,7.903888713246918,88.70967741935485,61.41194061732351,0,0,0,-,-,-,31.68262277016323
13300,Hatillo de Loba,-,2,2,-,-,-,-,-,-,2,0,48.50836769342712,30.066145520144318,0,0,0,-,-,-,15.37042729787888
13430,Magangué,3,15,18,1,-,1,-,-,-,19,12.191652781728777,32.92795363744128,25.655278573566513,4.345558838866679,0,1.4286734766769056,-,-,-,13.556322954422214
13433,Mahates,1,3,4,1,-,1,-,-,-,5,20.28809089064719,29.720626114523476,26.62584037808693,21.367521367521366,0,6.977393245883339,-,-,-,17.032873445750297
13442,María la Baja,-,10,10,-,-,-,-,-,-,10,0,65.91957811470006,40.92657771957109,0,0,0,-,-,-,20.636853292609942
13468,Mompós,1,4,5,-,-,-,-,-,-,5,12.08313194780087,27.151778441487917,21.731571627260085,0,0,0,-,-,-,10.774004481985864
13458,Montecristo,-,6,6,-,2,2,-,-,-,8,0,99.1899487518598,61.97066721751704,0,42.9000429000429,25.246149962130776,-,-,-,45.44421722335833
13473,Morales,-,1,1,-,-,-,-,-,-,1,0,12.674271229404308,8.069071249899137,0,0,0,-,-,-,4.283022100394039
13490,Norosí,-,5,5,-,-,-,-,-,-,5,0,153.37423312883436,94.44654325651682,0,0,0,-,-,-,50.236109715663616
13600,Río Viejo,1,1,2,-,-,-,-,-,-,2,51.22950819672131,26.838432635534083,35.22367030644593,0,0,0,-,-,-,18.628912071535023
13650,San Fernando,-,-,-,-,1,1,-,-,-,1,0,0,0,0,24.70355731225296,15.85288522511097,-,-,-,7.677543186180422
13655,San Jacinto del Cauca,-,1,1,-,-,-,-,-,-,1,0,27.31494127287626,17.72735330615139,0,0,0,-,-,-,9.39584703561026
13654,San Jacinto,-,4,4,-,-,-,-,-,-,4,0,46.52785855531,31.895383143290008,0,0,0,-,-,-,16.291951775822742
13657,San Juan Nepomuceno,-,2,2,-,-,-,-,-,-,2,0,14.500108750815631,10.164667615368977,0,0,0,-,-,-,5.190895169872045
13667,San Martín de Loba,-,3,3,-,1,1,-,-,-,4,0,63.43835906111228,38.4172109104879,0,22.527596305474205,14.108352144469524,-,-,-,26.85104383432906
13670,San Pablo,-,8,8,-,1,1,-,-,-,9,0,89.94827973915,54.99415687083248,0,11.507479861910241,7.045230379033395,-,-,-,31.31415051668348
13673,Santa Catalina,-,4,4,-,-,-,-,-,-,4,0,82.81573498964804,53.770668100551156,0,0,0,-,-,-,26.75943270002676
13688,Santa Rosa del Sur,-,5,5,-,1,1,-,-,-,6,0,45.11413877109086,28.170601160628767,0,9.571209800918837,5.94565669778227,-,-,-,17.357093265447812
13683,Santa Rosa,-,3,3,-,1,1,-,-,-,4,0,41.022836045398606,26.98327037236913,0,13.320900492873319,8.856611460455229,-,-,-,17.849970993797136
13744,Simití,-,8,8,-,-,-,-,-,-,8,0,123.38062924120914,79.48335817188276,0,0,0,-,-,-,41.79073290497832
13760,Soplaviento,-,1,1,-,-,-,-,-,-,1,0,26.624068157614484,18.77581674802854,0,0,0,-,-,-,9.225943352707814
13780,Talaigua Nuevo,-,2,2,-,1,1,-,-,-,3,0,47.89272030651341,30.175015087507543,0,24.49779519843214,15.260186174271325,-,-,-,22.760033381382293
13810,Tiquisio,-,3,3,-,-,-,-,-,-,3,0,51.93006750908776,29.997000299970004,0,0,0,-,-,-,15.761269307554903
13836,Turbaco,1,8,9,-,2,2,-,-,-,11,5.60695262125035,20.977003959409497,16.07946830558136,0,4.930237144406646,3.480197675227953,-,-,-,9.696755994358252
13838,Turbaná,-,2,2,-,-,-,-,-,-,2,0,32.77076847452073,22.48959856066569,0,0,0,-,-,-,11.486331265793705
13873,Villanueva,1,2,3,-,-,-,-,-,-,3,22.143489813994687,23.863500775563775,23.261223540358223,0,0,0,-,-,-,11.890135151202886
13894,Zambrano,-,4,4,-,-,-,-,-,-,4,0,91.72208209126347,60.77180188392585,0,0,0,-,-,-,32.462262619704596
15,Boyacá,3,66,69,1,8,9,-,-,-,78,1.6777303663603877,15.234015247864352,11.273515082002568,0.5949724825226833,1.7293483383124155,1.4270379290825572,-,-,-,6.276499097552085
15047,Aquitania,-,3,3,-,-,-,-,-,-,3,0,55.65862708719852,37.85488958990536,0,0,0,-,-,-,19.297568506368197
15131,Caldas,-,1,1,-,-,-,-,-,-,1,0,88.9679715302491,64.64124111182934,0,0,0,-,-,-,31.98976327575176
15176,Chiquinquirá,-,4,4,-,1,1,-,-,-,5,0,21.01833850034155,14.455567200318022,0,4.542151162790698,3.304255881575469,-,-,-,8.63036161215155
15183,Chita,-,1,1,-,-,-,-,-,-,1,0,39.23107100823852,25.0501002004008,0,0,0,-,-,-,12.832028743744385
15236,Chivor,-,1,1,-,-,-,-,-,-,1,0,100.50251256281408,72.93946024799416,0,0,0,-,-,-,39.5882818685669
15204,Cómbita,-,5,5,-,-,-,-,-,-,5,0,73.60518180479906,60.437567992263986,0,0,0,-,-,-,37.65060240963856
15238,Duitama,-,5,5,-,-,-,-,-,-,5,0,11.502185415228894,8.287613333112331,0,0,0,-,-,-,3.947264545669851
15244,El Cocuy,1,1,2,-,-,-,-,-,-,2,137.36263736263737,72.5689404934688,94.9667616334283,0,0,0,-,-,-,48.60267314702309
15296,Gámeza,-,1,1,-,-,-,-,-,-,1,0,61.31207847946045,40.306328093510686,0,0,0,-,-,-,20.614306328592043
15322,Guateque,-,1,1,-,-,-,-,-,-,1,0,25.44529262086514,19.319938176197837,0,0,0,-,-,-,9.17094644167278
15325,Guayatá,-,-,-,-,1,1,-,-,-,1,0,0,0,0,73.63770250368188,58.927519151443725,-,-,-,29.48982601002654
15332,Güicán,-,1,1,-,-,-,-,-,-,1,0,73.26007326007326,46.01932811780948,0,0,0,-,-,-,23.250406882120437
15367,Jenesano,-,1,1,-,-,-,-,-,-,1,0,39.41663381947181,27.716186252771617,0,0,0,-,-,-,13.627691469065141
15480,Muzo,-,1,1,-,-,-,-,-,-,1,0,29.94908655286014,22.06531332744925,0,0,0,-,-,-,11.913271384322135
15491,Nobsa,-,1,1,-,-,-,-,-,-,1,0,17.998560115190784,12.655024044545685,0,0,0,-,-,-,6.080505898090721
15507,Otanche,-,1,1,-,-,-,-,-,-,1,0,35.36067892503536,24.3605359317905,0,0,0,-,-,-,12.49375312343828
15531,Pauna,-,2,2,-,-,-,-,-,-,2,0,72.15007215007215,53.31911490269261,0,0,0,-,-,-,27.731558513588467
15572,Puerto Boyacá,-,16,16,-,2,2,-,-,-,18,0,97.64433052605884,66.87844841999666,0,11.795930404010615,8.214564422721486,-,-,-,37.28946986803671
15580,Quípama,-,1,1,-,-,-,-,-,-,1,0,49.72650422675286,37.11952487008166,0,0,0,-,-,-,20.07226013649137
15646,Samacá,-,2,2,-,-,-,-,-,-,2,0,32.232070910556004,21.172983273343213,0,0,0,-,-,-,10.628122010840684
15667,San Luis de Gaceno,-,1,1,-,-,-,-,-,-,1,0,49.77600796416127,35.7653791130186,0,0,0,-,-,-,18.27151470856934
15757,Socha,-,-,-,-,1,1,-,-,-,1,0,0,0,0,35.149384885764505,24.600246002460022,-,-,-,12.367054167697255
15759,Sogamoso,-,7,7,-,-,-,-,-,-,7,0,15.506967058771405,11.208428738411286,0,0,0,-,-,-,5.3392319133518935
15764,Soracá,-,2,2,-,-,-,-,-,-,2,0,100.70493454179255,66.29101756711965,0,0,0,-,-,-,32.95978905735003
15806,Tibasosa,-,2,2,-,-,-,-,-,-,2,0,42.49893752656183,30.26176426085641,0,0,0,-,-,-,14.929829799940281
15001,Tunja,1,4,5,1,2,3,-,-,-,8,4.139586869230451,6.610696106299993,5.905628063544558,4.3383947939262475,2.7953262145692404,3.1713144041100234,-,-,-,4.462716790414085
15832,Tununguá,-,1,1,-,-,-,-,-,-,1,0,172.1170395869191,116.55011655011656,0,0,0,-,-,-,63.451776649746186
15839,Tutazá,1,-,1,-,-,-,-,-,-,1,312.5,0,101.62601626016261,0,0,0,-,-,-,49.04364884747425
15842,Úmbita,-,-,-,-,1,1,-,-,-,1,0,0,0,0,39.032006245120996,27.300027300027303,-,-,-,13.241525423728813
17,Caldas,8,132,140,-,10,10,-,-,-,150,6.486451424586894,35.72888274159627,28.410070964298686,0,2.4532412223029065,1.9023341640192517,-,-,-,14.728220153507328
17013,Aguadas,-,6,6,-,-,-,-,-,-,6,0,71.25044531528322,52.23750652968832,0,0,0,-,-,-,26.032627559875042
17042,Anserma,-,3,3,-,1,1,-,-,-,4,0,21.949078138718175,16.35858007524947,0,7.15922107674685,5.448997384481256,-,-,-,10.901856040990978
17088,Belalcázar,-,5,5,-,-,-,-,-,-,5,0,135.17166801838334,92.55831173639393,0,0,0,-,-,-,46.948356807511736
