CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
25402,La Vega,-,1,1,-,-,-,-,-,-,1,0,14.874312063067082,10.811979673478215,0,0,0,-,-,-,5.3642313056539
25407,Lenguazaque,-,1,1,-,-,-,-,-,-,1,0,27.20348204570185,17.943656917279743,0,0,0,-,-,-,9.264406151565684
25430,Madrid,-,9,9,-,-,-,-,-,-,9,0,20.40076162843413,14.388029159739096,0,0,0,-,-,-,7.078922116125785
25473,Mosquera,-,12,12,-,2,2,-,-,-,14,0,22.946744430633903,16.28377186435618,0,3.541515414445841,2.5983474510211506,-,-,-,9.29213818736933
25491,Nocaima,-,1,1,-,-,-,-,-,-,1,0,38.53564547206166,29.42041776993233,0,0,0,-,-,-,15.239256324291373
25513,Pacho,-,1,1,-,1,1,-,-,-,2,0,10.95290251916758,7.886435331230285,0,10.312467773538208,7.6202087937209475,-,-,-,7.75103670115878
25524,Pandi,-,-,-,-,1,1,-,-,-,1,0,0,0,0,54.734537493158186,40.16064257028113,-,-,-,18.747656542932134
25530,Paratebueno,-,1,1,-,-,-,-,-,-,1,0,31.969309462915604,21.061499578770007,0,0,0,-,-,-,10.848340203948796
25535,Pasca,-,2,2,-,-,-,-,-,-,2,0,56.385678037778405,39.87240829346093,0,0,0,-,-,-,20.77706212341575
25572,Puerto Salgar,-,2,2,-,-,-,-,-,-,2,0,32.6530612244898,23.716352424997034,0,0,0,-,-,-,11.996880810989142
25592,Quebradanegra,-,2,2,-,-,-,-,-,-,2,0,101.5744032503809,77.42934572202864,0,0,0,-,-,-,40.59265272985589
25594,Quetame,-,-,-,-,1,1,-,-,-,1,0,0,0,0,57.47126436781609,38.71467286101432,-,-,-,18.814675446848543
25612,Ricaurte,-,1,1,-,-,-,-,-,-,1,0,19.025875190258752,13.764624913971096,0,0,0,-,-,-,6.960395350455906
25658,San Francisco,-,-,-,-,1,1,-,-,-,1,0,0,0,0,22.251891410769915,16.65001665001665,-,-,-,8.44309354947653
25718,Sasaima,-,3,3,-,-,-,-,-,-,3,0,69.28406466512702,50.016672224074696,0,0,0,-,-,-,26.039406301536328
25736,Sesquilé,-,1,1,-,-,-,-,-,-,1,0,22.81021897810219,15.762925598991172,0,0,0,-,-,-,7.908264136022143
25740,Sibaté,-,5,5,-,1,1,-,-,-,6,0,38.50596842510589,27.599911680282624,0,7.365397363187744,5.39316147125445,-,-,-,16.367505046647388
25743,Silvania,-,3,3,-,-,-,-,-,-,3,0,35.72704537334762,25.31004808909137,0,0,0,-,-,-,12.771935799736047
25745,Simijaca,-,1,1,-,-,-,-,-,-,1,0,21.992522542335607,14.67997651203758,0,0,0,-,-,-,7.111363959607453
25754,Soacha,14,119,133,2,13,15,-,-,-,148,12.705327162174427,46.56841643904233,36.365823781608185,1.8828491272994294,4.6165100604407705,3.867773709452839,-,-,-,19.6404210481615
25758,Sopó,-,-,-,-,1,1,-,-,-,1,0,0,0,0,8.928571428571429,6.7663576696664185,-,-,-,3.4483947722335255
25769,Subachoque,-,1,1,-,1,1,-,-,-,2,0,16.556291390728475,11.987532965715655,0,16.152479405588757,11.903344839900013,-,-,-,11.945290569193094
25772,Suesca,-,2,2,-,-,-,-,-,-,2,0,31.600568810238585,21.484584810398538,0,0,0,-,-,-,10.671789125446882
25799,Tenjo,-,-,-,-,1,1,-,-,-,1,0,0,0,0,11.090163025396473,8.160600620205647,-,-,-,4.150066401062417
25805,Tibacuy,-,1,1,-,-,-,-,-,-,1,0,55.52470849528041,41.35649296939619,0,0,0,-,-,-,21.55636990730761
25807,Tibirita,-,1,1,-,-,-,-,-,-,1,0,77.45933384972889,61.84291898577613,0,0,0,-,-,-,30.441400304414007
25815,Tocaima,-,1,1,-,-,-,-,-,-,1,0,15.97444089456869,11.990407673860911,0,0,0,-,-,-,6.02010715790741
25817,Tocancipá,1,1,2,-,-,-,-,-,-,2,13.585110718652356,6.501950585175552,8.7946880084429,0,0,0,-,-,-,4.375027343920899
25862,Vergara,-,1,1,-,-,-,-,-,-,1,0,34.87966515521451,26.518164942985948,0,0,0,-,-,-,13.952839402818475
25867,Vianí,-,-,-,-,1,1,-,-,-,1,0,0,0,0,61.91950464396285,44.76275738585497,-,-,-,21.427040925648168
25843,Villa de San Diego de Ubaté,1,6,7,-,-,-,-,-,-,7,13.902405116085083,38.30194701563996,30.623851605564795,0,0,0,-,-,-,14.92187333461235
25871,Villagómez,-,1,1,-,-,-,-,-,-,1,0,144.92753623188406,105.3740779768177,0,0,0,-,-,-,54.76451259583789
25873,Villapinzón,-,1,1,-,-,-,-,-,-,1,0,16.297262059973924,10.770059235325794,0,0,0,-,-,-,5.425052894265719
25875,Villeta,-,3,3,-,1,1,-,-,-,4,0,27.969420100689916,20.59590827955513,0,9.139097057210748,6.867188572998215,-,-,-,13.732491073880801
25878,Viotá,-,1,1,-,-,-,-,-,-,1,0,18.92863903085368,13.993842709207948,0,0,0,-,-,-,7.205649228995533
25885,Yacopí,-,2,2,-,-,-,-,-,-,2,0,42.24757076468103,30.56234718826406,0,0,0,-,-,-,15.918497293855461
25899,Zipaquirá,2,9,11,-,-,-,-,-,-,11,9.838162231295193,17.752529735487304,15.487286345845185,0,0,0,-,-,-,7.516125505630261
94,Guainía,-,4,4,-,1,1,-,-,-,5,0,28.306560045290492,15.203922612033907,0,7.832080200501252,4.1106589386278625,-,-,-,9.874397661742634
94001,Inírida,-,3,3,-,1,1,-,-,-,4,0,29.328380095806043,17.296050735082158,0,10.499790004199916,6.120700208103807,-,-,-,11.875426773149659
94663,Mapiripana,-,1,1,-,-,-,-,-,-,1,0,409.8360655737705,172.41379310344828,0,0,0,-,-,-,93.37068160597573
95,Guaviare,-,17,17,-,1,1,-,-,-,18,0,58.39516350645781,37.08147017122914,0,4.010427110487267,2.4502597275311184,-,-,-,20.771547595693367
95015,Calamar,-,2,2,-,-,-,-,-,-,2,0,53.763440860215056,35.486160397445,0,0,0,-,-,-,19.86294567484358
95025,El Retorno,-,2,2,-,-,-,-,-,-,2,0,44.58314757021846,27.052617340727714,0,0,0,-,-,-,14.575134819997084
95200,Miraflores,-,1,1,-,-,-,-,-,-,1,0,34.95281370150297,23.277467411545622,0,0,0,-,-,-,14.19244961680386
95001,San José del Guaviare,-,12,12,-,1,1,-,-,-,13,0,66.50041562759768,42.0757363253857,0,5.799454851243983,3.663003663003663,-,-,-,23.289143676101755
41,Huila,15,203,218,4,17,21,-,-,-,239,7.993945918291215,54.56475869205854,38.95103783074881,2.2466735190208995,4.416685719036435,3.7303821865368727,-,-,-,21.289445601458013
41006,Acevedo,-,16,16,1,2,3,-,-,-,19,0,198.9307472336193,122.72762138528803,20.525451559934318,27.067262146433887,24.467824810374356,-,-,-,75.10475136374417
41013,Agrado,-,1,1,-,-,-,-,-,-,1,0,34.66204506065858,22.49212775528565,0,0,0,-,-,-,11.189437171310283
41016,Aipe,-,1,1,-,-,-,-,-,-,1,0,18.55976243504083,12.186205215695832,0,0,0,-,-,-,6.043756799226399
41020,Algeciras,2,20,22,-,2,2,-,-,-,24,50.54334091483447,260.62027625749283,189.14968618347518,0,27.820280984837947,18.27485380116959,-,-,-,106.31229235880399
41078,Baraya,-,2,2,-,-,-,-,-,-,2,0,62.833804586867736,44.533511467379206,0,0,0,-,-,-,24.186721489902045
41132,Campoalegre,2,14,16,-,-,-,-,-,-,16,39.94407829039345,132.36267372600926,102.6694045174538,0,0,0,-,-,-,51.02528940906337
41206,Colombia,-,2,2,-,-,-,-,-,-,2,0,77.39938080495357,52.27391531625719,0,0,0,-,-,-,28.312570781426956
41298,Garzón,-,5,5,1,-,1,-,-,-,6,0,20.716801325875284,13.49892008639309,8.278145695364238,0,2.695708432175976,-,-,-,8.09323405632891
41306,Gigante,-,5,5,-,-,-,-,-,-,5,0,59.701492537313435,40.71329696278805,0,0,0,-,-,-,20.221629054436626
41319,Guadalupe,1,1,2,-,-,-,-,-,-,2,30.22974607013301,16.67500416875104,21.493820526598604,0,0,0,-,-,-,10.927767457108512
41357,Íquira,-,1,1,-,-,-,-,-,-,1,0,33.266799733865604,21.039343572480536,0,0,0,-,-,-,10.700909577314071
41359,Isnos,1,1,2,-,-,-,-,-,-,2,23.46866932644919,11.471836641046231,15.410695022345509,0,0,0,-,-,-,7.7763521132236875
41378,La Argentina,-,1,1,-,-,-,-,-,-,1,0,23.815194093831863,14.988009592326138,0,0,0,-,-,-,7.59762953958365
41396,La Plata,-,10,10,-,-,-,-,-,-,10,0,50.558673340411545,31.61655442789845,0,0,0,-,-,-,16.03077909586406
41001,Neiva,4,62,66,1,7,8,-,-,-,74,7.237330148908068,51.919340791853685,37.78229384320348,1.8904663780554662,5.1159867276687185,4.216673782303674,-,-,-,20.306908739654453
41503,Oporapa,1,1,2,-,-,-,-,-,-,2,40.88307440719542,27.63957987838585,32.98153034300791,0,0,0,-,-,-,16.778523489932883
41524,Palermo,-,3,3,-,-,-,-,-,-,3,0,32.13367609254499,21.933031144904227,0,0,0,-,-,-,11.160299096015773
41530,Palestina,-,1,1,-,1,1,-,-,-,2,0,26.350461133069828,16.894745734076704,0,28.08199943836001,18.261504747991236,-,-,-,17.551557700745942
41548,Pital,-,1,1,-,-,-,-,-,-,1,0,23.030861354214647,14.2025280499929,0,0,0,-,-,-,7.180297264306742
41551,Pitalito,2,32,34,-,2,2,-,-,-,36,9.148712318741138,76.06189536735518,53.18150534943377,0,4.567670031516923,3.091285665708368,-,-,-,27.987250252662676
41615,Rivera,-,5,5,-,-,-,-,-,-,5,0,52.01831044527674,37.20238095238095,0,0,0,-,-,-,19.895746289443316
41660,Saladoblanco,-,2,2,-,-,-,-,-,-,2,0,61.74745291756715,36.79175864606328,0,0,0,-,-,-,18.926847733509984
41668,San Agustín,2,2,4,-,1,1,-,-,-,5,35.88087549336204,17.242865764290027,23.2923775694404,0,8.738203425375742,6.040836051709557,-,-,-,14.824917721706644
41676,Santa María,-,1,1,-,-,-,-,-,-,1,0,28.27254735651682,18.37222120154327,0,0,0,-,-,-,9.558401835213152
41770,Suaza,-,5,5,1,1,2,-,-,-,7,0,66.95232994108194,42.57493188010899,25.006251562890725,14.3143429716576,18.206645425580337,-,-,-,30.797659377887282
41791,Tarqui,-,1,1,-,-,-,-,-,-,1,0,17.17032967032967,11.048502927853276,0,0,0,-,-,-,5.640476056179141
41799,Tello,-,5,5,-,-,-,-,-,-,5,0,122.01073694485115,80.26970621287525,0,0,0,-,-,-,42.3728813559322
41801,Teruel,-,2,2,-,-,-,-,-,-,2,0,71.94244604316548,47.630388187663726,0,0,0,-,-,-,24.709661477637756
41885,Yaguará,-,-,-,-,1,1,-,-,-,1,0,0,0,0,36.127167630057805,25.92016588906169,-,-,-,12.78118609406953
44,La Guajira,7,169,176,2,8,10,-,-,-,186,3.5952932475256674,60.85813572444588,37.25703544075496,1.056016389374363,2.6321590613720787,2.027065376912536,-,-,-,19.26028095158214
44035,Albania,-,2,2,-,-,-,-,-,-,2,0,20.73828287017835,12.379301807378065,0,0,0,-,-,-,6.198667286533396
44078,Barrancas,1,9,10,-,-,-,-,-,-,10,13.517166801838336,77.34616706772087,52.537564358516335,0,0,0,-,-,-,26.076979242724523
44090,Dibulla,-,6,6,-,-,-,-,-,-,6,0,48.14250180534382,27.864208424279017,0,0,0,-,-,-,14.265335235378032
44279,Fonseca,-,8,8,-,-,-,-,-,-,8,0,60.15942246954429,36.631713906314396,0,0,0,-,-,-,17.95977011494253
44378,Hatonuevo,-,3,3,-,-,-,-,-,-,3,0,45.93477262287551,27.40226525392766,0,0,0,-,-,-,13.615939726773474
44430,Maicao,3,78,81,2,5,7,-,-,-,88,7.897438597414905,150.76542446265657,90.27785517648763,5.466273095003826,8.5090451149572,7.341450880449717,-,-,-,47.54906198668626
44560,Manaure,-,1,1,-,-,-,-,-,-,1,0,4.2749658002735975,2.1861746316295747,0,0,0,-,-,-,1.0703085699607195
44001,Riohacha,3,49,52,-,3,3,-,-,-,55,7.576905591756327,83.8237306692213,53.03416624171341,0,4.633634004695415,2.8904797232847415,-,-,-,27.249441386451576
44650,San Juan del Cesar,-,3,3,-,-,-,-,-,-,3,0,18.674136321195142,12.319822594554639,0,0,0,-,-,-,6.050338818973863
44847,Uribia,-,10,10,-,-,-,-,-,-,10,0,18.883244896803067,10.862716982771731,0,0,0,-,-,-,5.260832053197534
47,Magdalena,6,257,263,1,23,24,-,-,-,287,2.39557298113087,55.47700510517965,36.849339444065365,0.4211749939982563,4.83317152715612,3.364600755072486,-,-,-,20.111756898612917
47030,Algarrobo,-,2,2,-,-,-,-,-,-,2,0,38.255547054322875,23.03351376252447,0,0,0,-,-,-,11.915400655347037
47053,Aracataca,-,10,10,-,-,-,-,-,-,10,0,77.9848709350386,47.60544606302961,0,0,0,-,-,-,24.10103152414923
47058,Ariguaní,-,4,4,-,-,-,-,-,-,4,0,38.71467286101432,24.53536158989143,0,0,0,-,-,-,12.580990123922753
47189,Ciénaga,2,38,40,1,4,5,-,-,-,45,9.200478424878094,95.03326164157455,64.8046140885231,4.808385824878588,9.565258979386867,7.985307035055498,-,-,-,36.191380017532715
47245,El Banco,-,5,5,-,2,2,-,-,-,7,0,22.74277916761428,14.21302481594133,0,9.084302325581396,5.793407102717108,-,-,-,10.042897519404312
47268,El Retén,-,3,3,-,-,-,-,-,-,3,0,46.41807210273867,27.870680044593087,0,0,0,-,-,-,14.250427512825384
47288,Fundación,1,15,16,-,1,1,-,-,-,17,7.495689978262499,70.07708479327259,46.04846601047603,0,4.350095702105446,2.7975940691005734,-,-,-,24.116553886311728
47318,Guamal,-,2,2,-,-,-,-,-,-,2,0,21.92982456140351,13.886960144424384,0,0,0,-,-,-,7.163836951070993
47460,Nueva Granada,-,4,4,-,-,-,-,-,-,4,0,59.18910920390648,36.18272274988693,0,0,0,-,-,-,18.89823301521308
47541,Pedraza,-,1,1,-,-,-,-,-,-,1,0,31.97953309881676,20.68680182043856,0,0,0,-,-,-,10.764262648008613
47551,Pivijay,-,6,6,-,1,1,-,-,-,7,0,45.50280600637039,30.231269209452307,0,7.8064012490242,5.228484785109275,-,-,-,17.96115259282067
47555,Plato,-,8,8,-,1,1,-,-,-,9,0,38.20804279300793,24.493294960504564,0,5.006508460999299,3.1892840057407112,-,-,-,14.058765640376775
47570,Puebloviejo,-,7,7,-,-,-,-,-,-,7,0,67.38544474393531,42.77421326000611,0,0,0,-,-,-,21.747234994407854
47605,Remolino,-,1,1,-,-,-,-,-,-,1,0,24.00384061449832,16.212710765239947,0,0,0,-,-,-,8.382932349735938
47660,Sabanas de San Ángel,-,2,2,-,-,-,-,-,-,2,0,36.31741420010895,22.289089490694305,0,0,0,-,-,-,11.95886151638364
47703,San Zenón,-,1,1,-,-,-,-,-,-,1,0,26.00780234070221,15.765410688948448,0,0,0,-,-,-,8.03923144947343
47707,Santa Ana,-,1,1,-,-,-,-,-,-,1,0,11.834319526627219,7.404664938911514,0,0,0,-,-,-,3.835091083413231
47001,Santa Marta,-,114,114,-,13,13,-,-,-,127,0,64.47927330727768,43.651735730860246,0,6.602570939545845,4.685461373777275,-,-,-,23.579125604331132
47745,Sitionuevo,-,7,7,-,-,-,-,-,-,7,0,72.3663806471622,46.52399308786388,0,0,0,-,-,-,24.00631023011763
47980,Zona Bananera,3,26,29,-,1,1,-,-,-,30,20.67254685777288,113.51728955640937,77.5069488988668,0,4.451765124872012,2.7384505846591995,-,-,-,40.57727942867191
50,Meta,11,239,250,2,24,26,-,-,-,276,6.611609987137414,64.66082825380593,46.64222614016922,1.2687135244861711,6.489661158566758,4.929293082495511,-,-,-,25.953167696957276
50006,Acacías,1,16,17,-,2,2,-,-,-,19,7.458790184232118,46.59153781194491,35.603585490491746,0,6.396929473852551,4.537102152854972,-,-,-,20.690631499852987
50110,Barranca de Upía,-,5,5,-,-,-,-,-,-,5,0,240.84778420038535,152.114390021296,0,0,0,-,-,-,76.01094557616297
50124,Cabuyaro,-,1,1,-,-,-,-,-,-,1,0,43.49717268377555,29.342723004694836,0,0,0,-,-,-,16.149870801033593
50150,Castilla la Nueva,1,1,2,-,1,1,-,-,-,3,37.764350453172206,18.07991321641656,24.452867098667316,0,19.554165037152913,12.941633234114146,-,-,-,18.86080724254998
50226,Cumaral,-,1,1,-,1,1,-,-,-,2,0,12.764871074802146,8.691117677733358,0,12.306177701206005,8.555051758063136,-,-,-,8.622547962923043
50251,El Castillo,-,2,2,-,-,-,-,-,-,2,0,77.57951900698215,51.86721991701245,0,0,0,-,-,-,26.99784017278618
50287,Fuente de Oro,-,2,2,-,-,-,-,-,-,2,0,46.79457182966776,31.76115610608226,0,0,0,-,-,-,16.144656118824667
50313,Granada,-,21,21,-,1,1,-,-,-,22,0,92.44178368622617,61.585383735593425,0,3.9575747981636855,2.741378365041943,-,-,-,31.171628150814005
50318,Guamal,-,6,6,-,-,-,-,-,-,6,0,120.48192771084338,83.40283569641367,0,0,0,-,-,-,41.48803761582077
50350,La Macarena,-,26,26,-,3,3,-,-,-,29,0,281.8428184281843,173.22939569591577,0,40.10159069643096,23.00084336425669,-,-,-,103.37943818622558
50325,Mapiripán,-,3,3,2,-,2,-,-,-,5,0,133.27410039982232,77.53941586973379,124.76606363069246,0,60.8457560085184,-,-,-,69.8714365567356
50330,Mesetas,-,5,5,-,-,-,-,-,-,5,0,136.05442176870747,91.30752373995618,0,0,0,-,-,-,47.93863854266539
50450,Puerto Concordia,-,2,2,-,-,-,-,-,-,2,0,70.0280112044818,43.61098996947231,0,0,0,-,-,-,23.339946318123467
50568,Puerto Gaitán,1,15,16,-,4,4,-,-,-,20,10.905125408942203,106.42826734780758,68.7757909215956,0,34.96809161640004,19.664716582272256,-,-,-,45.86629973626877
50577,Puerto Lleras,-,3,3,-,-,-,-,-,-,3,0,81.65487207403375,53.90835579514825,0,0,0,-,-,-,28.97430944562488
50573,Puerto López,-,7,7,-,-,-,-,-,-,7,0,69.93705664901589,45.46930821695356,0,0,0,-,-,-,23.093164423330695
50590,Puerto Rico,-,2,2,-,-,-,-,-,-,2,0,41.71011470281543,28.612303290414882,0,0,0,-,-,-,15.535187199005748
50606,Restrepo,-,-,-,-,2,2,-,-,-,2,0,0,0,0,30.07066606525335,21.52620815843289,-,-,-,10.719262514738986
50680,San Carlos de Guaroa,-,3,3,-,-,-,-,-,-,3,0,68.50879196163507,44.510385756676556,0,0,0,-,-,-,23.300970873786408
50683,San Juan de Arama,-,5,5,-,-,-,-,-,-,5,0,151.46925174189641,106.90613641223007,0,0,0,-,-,-,56.401579244218844
50689,San Martín,-,12,12,-,-,-,-,-,-,12,0,135.37906137184115,91.44250552465137,0,0,0,-,-,-,45.284727725574555
50370,Uribe,1,9,10,-,-,-,-,-,-,10,54.585152838427945,257.80578630764825,187.86398647379298,0,0,0,-,-,-,105.46298249314489
50001,Villavicencio,7,84,91,-,8,8,-,-,-,99,8.96091759796203,43.94224733207784,33.79419705359165,0,3.9419547167951907,2.8982881985327413,-,-,-,18.155077369971135
50711,Vistahermosa,-,8,8,-,2,2,-,-,-,10,0,133.6898395721925,90.06980409817609,0,39.05487209529389,25.290844714213456,-,-,-,59.55926146515784
52,Nariño,15,322,337,4,31,35,-,-,-,372,6.404891629233634,57.36202384621277,42.36100374209817,1.78557080234624,5.098449413513851,4.206498198416915,-,-,-,22.85589298035315
52019,Albán,-,-,-,-,1,1,-,-,-,1,0,0,0,0,27.870680044593087,21.570319240724764,-,-,-,10.729613733905579
52022,Aldana,-,1,1,-,-,-,-,-,-,1,0,39.35458480913026,28.34467120181406,0,0,0,-,-,-,13.585110718652356
52079,Barbacoas,-,6,6,-,-,-,-,-,-,6,0,36.59429129055867,20.911752404851526,0,0,0,-,-,-,10.614584439019213
52110,Buesaco,-,4,4,-,-,-,-,-,-,4,0,45.62043795620438,33.664366268305,0,0,0,-,-,-,16.729401923881223
52203,Colón,-,-,-,1,1,2,-,-,-,2,0,0,0,107.18113612004286,31.625553447185325,48.84004884004884,-,-,-,24.05002405002405
52227,Cumbal,-,1,1,-,1,1,-,-,-,2,0,7.826563356030368,5.546004104043037,0,7.225955632632416,5.262603936427745,-,-,-,5.400588664164394
52250,El Charco,-,1,1,-,-,-,-,-,-,1,0,15.593326056447841,8.795848359574281,0,0,0,-,-,-,4.434589800443459
52520,Francisco Pizarro,-,3,3,-,-,-,-,-,-,3,0,67.78129236330773,41.88189306156639,0,0,0,-,-,-,21.189433535810142
52287,Funes,-,1,1,-,-,-,-,-,-,1,0,37.34129947722181,28.10567734682406,0,0,0,-,-,-,14.01541695865452
52323,Gualmatán,-,1,1,-,-,-,-,-,-,1,0,39.07776475185619,30.012004801920767,0,0,0,-,-,-,14.204545454545453
52356,Ipiales,2,38,40,1,1,2,-,-,-,42,12.397718819737168,96.21714690839116,71.90881961672599,6.445790898543251,2.2373366744227674,3.321707357581797,-,-,-,36.25815808556926
52399,La Unión,-,1,1,-,-,-,-,-,-,1,0,8.424599831508003,6.354855109303508,0,0,0,-,-,-,3.1495071021385153
52405,Leiva,-,5,5,-,-,-,-,-,-,5,0,141.28284826222097,100.86746015735324,0,0,0,-,-,-,52.241145125901156
52411,Linares,-,1,1,-,-,-,-,-,-,1,0,25.438819638768763,19.96007984031936,0,0,0,-,-,-,9.988014382740712
52427,Magüí,-,2,2,-,-,-,-,-,-,2,0,28.498147620404676,15.398829688943641,0,0,0,-,-,-,7.829933837059078
52473,Mosquera,-,2,2,-,-,-,-,-,-,2,0,48.56726566294317,31.446540880503143,0,0,0,-,-,-,15.895724050230488
52490,Olaya Herrera,-,1,1,-,-,-,-,-,-,1,0,14.094432699083862,7.971938775510203,0,0,0,-,-,-,3.9666798889329633
52001,Pasto,1,52,53,1,7,8,-,-,-,61,2.202449123425249,37.21276397804447,28.626830361724306,2.277748673211398,4.280167537986487,3.8563881068990784,-,-,-,15.537878035299004
52540,Policarpa,-,4,4,-,-,-,-,-,-,4,0,113.25028312570782,82.06811653672548,0,0,0,-,-,-,40.903977911851925
52560,Potosí,-,1,1,-,-,-,-,-,-,1,0,28.066236317709798,20.28809089064719,0,0,0,-,-,-,9.942334460131239
52612,Ricaurte,-,3,3,-,-,-,-,-,-,3,0,49.45598417408506,29.52755905511811,0,0,0,-,-,-,14.957371491249939
52621,Roberto Payán,1,4,5,-,-,-,-,-,-,5,36.58982802780827,110.04126547455296,78.5175879396985,0,0,0,-,-,-,39.3886875689302
52678,Samaniego,-,10,10,-,2,2,-,-,-,12,0,96.78668215253582,73.09941520467837,0,18.43487879067195,14.222727919214906,-,-,-,43.25571335880614
52835,San Andrés de Tumaco,11,171,182,1,16,17,-,-,-,199,23.690048026188272,213.77404958057784,143.9600075934949,2.225535797743307,18.670867611879338,13.014055179593962,-,-,-,77.41624262795077
52693,San Pablo,-,1,1,-,1,1,-,-,-,2,0,18.23819077147547,14.021312394840157,0,16.837851490149855,13.053126223730585,-,-,-,13.51990806462516
52683,Sandoná,-,1,1,-,1,1,-,-,-,2,0,13.440860215053764,10.242753252074158,0,12.515644555694617,9.9930048965724,-,-,-,10.11633788568538
52696,Santa Bárbara,-,3,3,-,-,-,-,-,-,3,0,74.53416149068323,44.88330341113106,0,0,0,-,-,-,22.655188038060718
52720,Sapuyes,-,1,1,-,-,-,-,-,-,1,0,37.27171077152441,27.808676307007786,0,0,0,-,-,-,13.827433628318584
52788,Tangua,-,1,1,-,-,-,-,-,-,1,0,20.012007204322593,15.24390243902439,0,0,0,-,-,-,7.506943923128894
52838,Túquerres,-,2,2,-,-,-,-,-,-,2,0,12.32134056185313,9.155832265152902,0,0,0,-,-,-,4.48681996634885
54,Norte de Santander,9,549,558,3,35,38,-,-,-,596,3.5667154117772943,100.4686707939953,69.85723084935377,1.2498541836785708,6.018730288658305,4.625425721748995,-,-,-,36.78290310914277
54003,Ábrego,-,13,13,-,-,-,-,-,-,13,0,117.91383219954649,76.2866028988909,0,0,0,-,-,-,38.313047066104744
54051,Arboledas,-,2,2,-,-,-,-,-,-,2,0,53.676865271068166,37.04389701796629,0,0,0,-,-,-,19.88862370723946
54109,Bucarasica,-,3,3,-,-,-,-,-,-,3,0,137.67783386874711,85.61643835616438,0,0,0,-,-,-,45.358330813426065
54174,Chitagá,-,4,4,-,-,-,-,-,-,4,0,92.74287039183862,62.053986968662734,0,0,0,-,-,-,32.27368081329676
54206,Convención,1,16,17,-,-,-,-,-,-,17,26.638252530633988,253.80710659898475,169.01968582223105,0,0,0,-,-,-,86.52720517127297
54001,Cúcuta,5,257,262,2,20,22,-,-,-,284,4.421922121107603,97.46662621359224,69.54158294691747,1.8533619986655796,6.838986325446842,5.495150529657577,-,-,-,36.54585088778107
54245,El Carmen,-,6,6,-,-,-,-,-,-,6,0,130.74743952930922,82.25939128050453,0,0,0,-,-,-,42.72591326639607
54250,El Tarra,-,8,8,-,2,2,-,-,-,10,0,120.3550473897999,69.4504731313482,0,34.03096818104475,19.217834150091285,-,-,-,45.60795402718234
54261,El Zulia,-,4,4,-,1,1,-,-,-,5,0,40.70418235473695,26.732607097507188,0,10.288065843621398,6.930487213251092,-,-,-,17.011431682090365
54313,Gramalote,-,1,1,-,-,-,-,-,-,1,0,31.259768677711783,23.4246896228625,0,0,0,-,-,-,12.997140629061604
54344,Hacarí,-,4,4,-,-,-,-,-,-,4,0,126.0239445494644,72.62164124909224,0,0,0,-,-,-,37.725172121097806
54347,Herrán,-,1,1,-,-,-,-,-,-,1,0,37.86444528587656,27.0929287455974,0,0,0,-,-,-,13.650013650013651
54385,La Esperanza,-,1,1,-,-,-,-,-,-,1,0,25.65418163160595,15.586034912718205,0,0,0,-,-,-,8.082114281095935
54398,La Playa,-,2,2,-,-,-,-,-,-,2,0,73.71913011426466,48.1000481000481,0,0,0,-,-,-,24.990628514307136
