 DIVIPOLA,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),TOTAL/HOMBRE/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),TOTAL/MUJER/VIOLENCIA DE PAREJA (CASOS),/TOTAL/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA DE PAREJA (TASAS)
50287,Fuente de Oro,0.0,0.0,0.0,2.0,5.0,7.0,7.0,0.0,0.0,0.0,220.7505518763797,120.8313194780087,138.77874702616973,68.23942288945213
50313,Granada,0.0,5.0,5.0,0.0,37.0,37.0,42.0,0.0,22.00994849672052,17.918577981651378,0.0,146.43026753205635,121.84680234472766,72.07825639265488
50318,Guamal,0.0,2.0,2.0,0.0,4.0,4.0,6.0,0.0,40.16064257028113,33.60215053763441,0.0,77.89678675754625,65.85446163977609,49.89190088142358
50350,La Macarena,0.0,0.0,0.0,2.0,8.0,10.0,10.0,0.0,0.0,0.0,86.88097306689835,106.93757519048255,102.21813349688236,46.4187903263241
50400,Lejanías,0.0,2.0,2.0,1.0,13.0,14.0,16.0,0.0,52.24660397074191,42.34596654668643,128.8659793814433,354.4165757906216,315.031503150315,174.53910766881205
50325,Mapiripán,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,178.14726840855107,133.92857142857142,58.950677932796225
50330,Mesetas,0.0,5.0,5.0,1.0,17.0,18.0,23.0,0.0,136.05442176870747,111.0370863868532,135.50135501355012,523.8828967642527,451.92066281697214,271.0346452981381
50450,Puerto Concordia,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,123.76237623762377,95.81603321622484,44.543429844098
50568,Puerto Gaitán,0.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,157.35641227380015,121.04095218882388,55.309734513274336
50577,Puerto Lleras,0.0,4.0,4.0,1.0,11.0,12.0,16.0,0.0,108.87316276537834,87.54650908295032,125.47051442910914,356.67963683527887,309.1986601391394,189.3491124260355
