NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL,TOTAL.1,TOTAL.2,TOTAL.3,TOTAL.4,TOTAL.5,TOTAL.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
25524,Pandi,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2
25530,Paratebueno,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,2,2
25535,Pasca,2,-,2,5,-,5,7,-,3,3,-,1,1,4,-,-,-,-,-,-,-,2,3,5,5,1,6,11
25580,Pulí,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25592,Quebradanegra,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
25594,Quetame,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2
25612,Ricaurte,2,-,2,1,-,1,3,-,1,1,-,6,6,7,-,1,1,-,-,-,1,2,2,4,1,6,7,11
25645,San Antonio del Tequendama,1,-,1,1,-,1,2,-,3,3,-,2,2,5,-,1,1,-,1,1,2,1,4,5,1,3,4,9
25649,San Bernardo,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25658,San Francisco,2,-,2,1,-,1,3,-,4,4,-,2,2,6,-,-,-,-,5,5,5,2,4,6,1,7,8,14
25718,Sasaima,1,-,1,1,-,1,2,-,3,3,-,1,1,4,-,-,-,-,-,-,-,1,3,4,1,1,2,6
25736,Sesquilé,4,-,4,2,-,2,6,-,3,3,-,3,3,6,-,-,-,-,-,-,-,4,3,7,2,3,5,12
25740,Sibaté,5,-,5,6,-,6,11,-,2,2,-,16,16,18,-,-,-,-,1,1,1,5,2,7,6,17,23,30
25743,Silvania,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,1,1,2,3
25745,Simijaca,1,-,1,2,-,2,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,2,-,2,4
25754,Soacha,45,-,45,47,-,47,92,-,91,91,-,132,132,223,-,16,16,-,12,12,28,45,107,152,47,144,191,343
25772,Suesca,1,-,1,6,-,6,7,-,1,1,-,4,4,5,-,1,1,-,-,-,1,1,2,3,6,4,10,13
25777,Supatá,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25779,Susa,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,2,2,-,2,2,4,-,3,3,1,2,3,6
25781,Sutatausa,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
25793,Tausa,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25797,Tena,3,-,3,4,-,4,7,-,6,6,-,5,5,11,-,-,-,-,2,2,2,3,6,9,4,7,11,20
25799,Tenjo,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
25805,Tibacuy,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
25807,Tibirita,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25815,Tocaima,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25817,Tocancipá,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
25841,Ubaque,1,-,1,1,-,1,2,-,1,1,-,3,3,4,-,-,-,-,-,-,-,1,1,2,1,3,4,6
25845,Une,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,1,-,1,-,2,2,3
25851,Útica,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,1,1,2,-,1,1,-,2,2,3
