NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL,TOTAL.1,TOTAL.2,TOTAL.3,TOTAL.4,TOTAL.5,TOTAL.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
85230,Orocué,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2
85250,Paz de Ariporo,3,-,3,5,-,5,8,-,5,5,-,8,8,13,-,-,-,-,-,-,-,3,5,8,5,8,13,21
85263,Pore,1,-,1,3,-,3,4,-,1,1,-,5,5,6,-,-,-,-,1,1,1,1,1,2,3,6,9,11
85279,Recetor,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
85325,San Luis de Palenque,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
85400,Támara,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
85410,Tauramena,4,-,4,3,-,3,7,-,-,-,-,6,6,6,-,-,-,-,-,-,-,4,-,4,3,6,9,13
85430,Trinidad,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
85440,Villanueva,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,1,1,2,3
85001,Yopal,25,-,25,32,-,32,57,-,32,32,-,49,49,81,-,6,6,-,3,3,9,25,38,63,32,52,84,147
19,Cauca,11,-,11,25,-,25,36,-,53,53,-,114,114,167,-,15,15,-,15,15,30,11,68,79,25,129,154,233
19050,Argelia,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19100,Bolívar,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,1,1,2,3
19130,Cajibío,-,-,-,-,-,-,-,-,2,2,-,5,5,7,-,-,-,-,-,-,-,-,2,2,-,5,5,7
19142,Caloto,1,-,1,5,-,5,6,-,-,-,-,2,2,2,-,1,1,-,-,-,1,1,1,2,5,2,7,9
19212,Corinto,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19256,El Tambo,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,1,1,2,3,-,-,-,3
19290,Florencia,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
19300,Guachené,-,-,-,-,-,-,-,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,3,3,-,1,1,4
19318,Guapí,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
19355,Inzá,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,-,-,1,-,2,2,-,1,1,3
19392,La Sierra,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19450,Mercaderes,-,-,-,2,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,3,3
19455,Miranda,-,-,-,2,-,2,2,-,-,-,-,3,3,3,-,1,1,-,1,1,2,-,1,1,2,4,6,7
19513,Padilla,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19532,Patía,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,1,-,2,2,3,-,1,1,-,4,4,5
19533,Piamonte,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
19548,Piendamó,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
19001,Popayán,3,-,3,9,-,9,12,-,25,25,-,60,60,85,-,7,7,-,9,9,16,3,32,35,9,69,78,113
19573,Puerto Tejada,-,-,-,1,-,1,1,-,2,2,-,5,5,7,-,-,-,-,1,1,1,-,2,2,1,6,7,9
19622,Rosas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
19698,Santander de Quilichao,3,-,3,2,-,2,5,-,10,10,-,15,15,25,-,-,-,-,1,1,1,3,10,13,2,16,18,31
19743,Silvia,3,-,3,1,-,1,4,-,-,-,-,6,6,6,-,1,1,-,1,1,2,3,1,4,1,7,8,12
19780,Suárez,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
19807,Timbío,-,-,-,-,-,-,-,-,4,4,-,2,2,6,-,-,-,-,-,-,-,-,4,4,-,2,2,6
19845,Villa Rica,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,1,3,4,4
20,Cesar,23,-,23,31,-,31,54,-,53,53,-,104,104,157,-,5,5,-,12,12,17,23,58,81,31,116,147,228
20011,Aguachica,3,-,3,6,-,6,9,-,2,2,-,12,12,14,-,-,-,-,3,3,3,3,2,5,6,15,21,26
20013,Agustín Codazzi,2,-,2,2,-,2,4,-,3,3,-,10,10,13,-,-,-,-,-,-,-,2,3,5,2,10,12,17
20032,Astrea,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
20045,Becerril,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
20060,Bosconia,3,-,3,-,-,-,3,-,5,5,-,5,5,10,-,1,1,-,-,-,1,3,6,9,-,5,5,14
20175,Chimichagua,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
20178,Chiriguaná,2,-,2,2,-,2,4,-,3,3,-,4,4,7,-,-,-,-,-,-,-,2,3,5,2,4,6,11
20228,Curumaní,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,1,3,4,4
20238,El Copey,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
20250,El Paso,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
20295,Gamarra,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
20400,La Jagua de Ibirico,1,-,1,1,-,1,2,-,-,-,-,3,3,3,-,-,-,-,-,-,-,1,-,1,1,3,4,5
20621,La Paz,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,1,1,1,-,1,1,1,1,2,3
20443,Manaure Balcón del Cesar,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
20517,Pailitas,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
20570,Pueblo Bello,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
20710,San Alberto,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
20750,San Diego,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2
20787,Tamalameque,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
20001,Valledupar,12,-,12,15,-,15,27,-,33,33,-,58,58,91,-,4,4,-,7,7,11,12,37,49,15,65,80,129
27,Chocó,3,-,3,4,-,4,7,-,5,5,-,8,8,13,-,-,-,-,1,1,1,3,5,8,4,9,13,21
27077,Bajo Baudó,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
27205,Condoto,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
27001,Quibdó,3,-,3,3,-,3,6,-,4,4,-,5,5,9,-,-,-,-,1,1,1,3,4,7,3,6,9,16
27787,Tadó,-,-,-,1,-,1,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,1,2,3,3
23,Córdoba,20,-,20,23,-,23,43,-,41,41,-,87,87,128,-,8,8,-,14,14,22,20,49,69,23,101,124,193
23079,Buenavista,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
23090,Canalete,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
23162,Cereté,1,-,1,-,-,-,1,-,4,4,-,7,7,11,-,-,-,-,3,3,3,1,4,5,-,10,10,15
23168,Chimá,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
23182,Chinú,-,-,-,-,-,-,-,-,5,5,-,5,5,10,-,-,-,-,1,1,1,-,5,5,-,6,6,11
23189,Ciénaga de Oro,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2
23300,Cotorra,-,-,-,-,-,-,-,-,1,1,-,3,3,4,-,-,-,-,-,-,-,-,1,1,-,3,3,4
23350,La Apartada,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
23417,Lorica,1,-,1,1,-,1,2,-,3,3,-,6,6,9,-,-,-,-,1,1,1,1,3,4,1,7,8,12
23464,Momil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,1,1,2
23466,Montelíbano,5,-,5,5,-,5,10,-,1,1,-,4,4,5,-,-,-,-,-,-,-,5,1,6,5,4,9,15
23001,Montería,7,-,7,14,-,14,21,-,15,15,-,36,36,51,-,6,6,-,4,4,10,7,21,28,14,40,54,82
23500,Moñitos,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
23555,Planeta Rica,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
23570,Pueblo Nuevo,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
23586,Purísima de la Concepción,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
23660,Sahagún,4,-,4,2,-,2,6,-,4,4,-,14,14,18,-,-,-,-,3,3,3,4,4,8,2,17,19,27
23670,San Andrés de Sotavento,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
23672,San Antero,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
23675,San Bernardo del Viento,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
23678,San Carlos,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,1,1,-,-,-,1,1,1,2,-,2,2,4
23686,San Pelayo,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
23815,Tuchín,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
25,Cundinamarca,262,-,262,282,-,282,544,-,356,356,-,569,569,925,-,75,75,-,74,74,149,262,431,693,282,643,925,1618
25001,Agua de Dios,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,1,2,3,4
25019,Albán,-,-,-,1,-,1,1,-,3,3,-,1,1,4,-,1,1,-,1,1,2,-,4,4,1,2,3,7
25035,Anapoima,7,-,7,6,-,6,13,-,4,4,-,3,3,7,-,-,-,-,1,1,1,7,4,11,6,4,10,21
25040,Anolaima,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25599,Apulo,2,-,2,-,-,-,2,-,-,-,-,1,1,1,-,-,-,-,1,1,1,2,-,2,-,2,2,4
25053,Arbeláez,1,-,1,-,-,-,1,-,2,2,-,-,-,2,-,-,-,-,-,-,-,1,2,3,-,-,-,3
25095,Bituima,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25099,Bojacá,1,-,1,-,-,-,1,-,1,1,-,3,3,4,-,-,-,-,-,-,-,1,1,2,-,3,3,5
25120,Cabrera,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
25123,Cachipay,4,-,4,-,-,-,4,-,6,6,-,7,7,13,-,-,-,-,1,1,1,4,6,10,-,8,8,18
25126,Cajicá,14,-,14,12,-,12,26,-,19,19,-,21,21,40,-,-,-,-,1,1,1,14,19,33,12,22,34,67
25148,Caparrapí,-,-,-,1,-,1,1,-,1,1,-,2,2,3,-,1,1,-,-,-,1,-,2,2,1,2,3,5
25151,Cáqueza,5,-,5,7,-,7,12,-,3,3,-,8,8,11,-,3,3,-,-,-,3,5,6,11,7,8,15,26
25154,Carmen de Carupa,-,-,-,3,-,3,3,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,3,4,7,7
25168,Chaguaní,1,-,1,-,-,-,1,-,1,1,-,2,2,3,-,-,-,-,-,-,-,1,1,2,-,2,2,4
25175,Chía,8,-,8,19,-,19,27,-,9,9,-,15,15,24,-,1,1,-,2,2,3,8,10,18,19,17,36,54
25178,Chipaque,1,-,1,1,-,1,2,-,3,3,-,11,11,14,-,-,-,-,-,-,-,1,3,4,1,11,12,16
25181,Choachí,2,-,2,1,-,1,3,-,3,3,-,9,9,12,-,1,1,-,-,-,1,2,4,6,1,9,10,16
25183,Chocontá,7,-,7,2,-,2,9,-,7,7,-,6,6,13,-,1,1,-,-,-,1,7,8,15,2,6,8,23
25200,Cogua,-,-,-,1,-,1,1,-,2,2,-,2,2,4,-,1,1,-,1,1,2,-,3,3,1,3,4,7
25214,Cota,3,-,3,3,-,3,6,-,6,6,-,-,-,6,-,1,1,-,-,-,1,3,7,10,3,-,3,13
25224,Cucunubá,3,-,3,4,-,4,7,-,3,3,-,4,4,7,-,-,-,-,-,-,-,3,3,6,4,4,8,14
25245,El Colegio,-,-,-,1,-,1,1,-,9,9,-,5,5,14,-,3,3,-,1,1,4,-,12,12,1,6,7,19
25258,El Peñón,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
25260,El Rosal,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
25269,Facatativá,26,-,26,31,-,31,57,-,14,14,-,37,37,51,-,5,5,-,4,4,9,26,19,45,31,41,72,117
25279,Fómeque,-,-,-,-,-,-,-,-,3,3,-,3,3,6,-,-,-,-,-,-,-,-,3,3,-,3,3,6
25281,Fosca,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,2,2,-,-,-,2
25286,Funza,1,-,1,3,-,3,4,-,1,1,-,1,1,2,-,1,1,-,-,-,1,1,2,3,3,1,4,7
25288,Fúquene,2,-,2,-,-,-,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,2,-,2,-,1,1,3
25290,Fusagasugá,13,-,13,16,-,16,29,-,5,5,-,38,38,43,-,3,3,-,13,13,16,13,8,21,16,51,67,88
25295,Gachancipá,1,-,1,2,-,2,3,-,4,4,-,4,4,8,-,-,-,-,-,-,-,1,4,5,2,4,6,11
25307,Girardot,12,-,12,13,-,13,25,-,24,24,-,49,49,73,-,15,15,-,8,8,23,12,39,51,13,57,70,121
25312,Granada,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25317,Guachetá,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
25320,Guaduas,4,-,4,9,-,9,13,-,4,4,-,8,8,12,-,1,1,-,1,1,2,4,5,9,9,9,18,27
25322,Guasca,3,-,3,1,-,1,4,-,1,1,-,4,4,5,-,1,1,-,-,-,1,3,2,5,1,4,5,10
