CÓDIGOS,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/HOMBRE/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/MUJER/VIOLENCIA INTERPERSONAL (CASOS),/TOTAL/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA INTERPERSONAL (TASAS)
5674,San Vicente Ferrer,-,4,4,-,1,1,5.0,0.0,47.33167672464797,34.27298432010967,0.0,12.679092177000127,9.260974254491572,22.25288174818639
5679,Santa Bárbara,3,23,26,1,7,8,34.0,89.1000891000891,227.27272727272725,192.77823088900422,32.90556103981573,65.66604127579737,58.39842324257245,125.06437136761569
5042,Santa Fé de Antioquia,2,20,22,1,18,19,41.0,51.5729757607014,209.95171110644554,164.13011041480155,27.329871549603716,181.10473890733473,139.72643035740552,151.8406043996741
5686,Santa Rosa de Osos,-,28,28,1,10,11,39.0,0.0,214.78981282602024,148.7304791246149,17.5530981218185,74.92881762325791,57.76400777188468,102.98661174047373
5690,Santo Domingo,1,19,20,-,7,7,27.0,59.276822762299936,404.6858359957401,313.38138514572233,0.0,159.92689056431345,117.80545270952541,219.08471275559884
5736,Segovia,2,18,20,4,13,17,37.0,29.120559114735006,140.74595355383534,101.7449254718421,61.93868070610096,98.00965018094088,86.19815434540108,93.95870895655045
5756,Sonsón,6,31,37,4,14,18,55.0,110.09174311926607,238.95783550450938,200.83591163219887,78.44675426554227,106.84576051285964,98.89023184265464,150.17064846416383
5761,Sopetrán,-,-,-,-,1,1,1.0,0.0,0.0,0.0,0.0,17.540782318891424,12.909888974954814,6.446621970087675
5790,Tarazá,2,16,18,-,3,3,21.0,35.24229074889868,195.79050416054824,129.9920560410197,0.0,34.466911764705884,21.204410517387615,75.01339524915164
5792,Tarso,-,1,1,-,-,-,1.0,0.0,44.169611307420496,32.154340836012864,0.0,0.0,0.0,16.048788316482103
