 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENCIA INTERPERSONAL (CASOS),VIOLENCIA INTERPERSONAL (CASOS).1,VIOLENCIA INTERPERSONAL (CASOS).2,VIOLENCIA INTERPERSONAL (CASOS).3,VIOLENCIA INTERPERSONAL (CASOS).4,VIOLENCIA INTERPERSONAL (CASOS).5,VIOLENCIA INTERPERSONAL (CASOS).6,VIOLENCIA INTERPERSONAL (TASAS),VIOLENCIA INTERPERSONAL (TASAS).1,VIOLENCIA INTERPERSONAL (TASAS).2,VIOLENCIA INTERPERSONAL (TASAS).3,VIOLENCIA INTERPERSONAL (TASAS).4,VIOLENCIA INTERPERSONAL (TASAS).5,VIOLENCIA INTERPERSONAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
81591,Puerto Rondón,-,1,1,-,2,2,3,0,57.4052812858783,38.55050115651503,0,122.32415902140671,81.9000819000819,59.57108816521049
81736,Saravena,1,23,24,1,18,19,43,9.08265213442325,112.39249413604378,76.25341551757006,9.034239768723461,81.90380852709652,57.495612176965444,66.6460012399256
81794,Tame,1,37,38,1,17,18,56,10.672358591248667,234.57807645977303,151.13550491190392,11.241007194244604,105.59662090813093,72.01440288057611,111.69173082292872
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",36,171,207,6,82,88,295,411.71088746569075,761.6926503340758,663.5891517599539,70.9471443774388,327.7247112425562,262.85919111058007,456.14794656110837
88564,Providencia,2,7,9,-,1,1,10,221.48394241417498,319.3430656934307,290.79159935379647,0,42.158516020236085,30.665440049064706,157.33165512901195
88001,San Andrés,34,164,198,6,81,87,285,433.6181609488586,809.5567183334979,704.651411082245,79.28118393234672,357.6316835180361,287.9173974914783,488.7166472323205
8,Atlántico,121,1951,2072,82,827,909,2981,28.99405022919677,209.11577575414586,153.4470411455799,20.344214179917284,81.25583995645394,63.976419516397385,107.5730953950704
8078,Baranoa,3,53,56,6,25,31,87,28.80737468792011,224.05411118156837,164.37230326689954,60.024009603841534,103.31005413446836,90.6565287322708,127.44638462439939
8001,Barranquilla,61,1184,1245,45,467,512,1757,33.833439640589035,268.09772886805695,200.1849097559995,25.430912687199775,93.73613779011535,75.8342133755556,135.4578970334952
8137,Campo de la Cruz,-,3,3,-,3,3,6,0,38.61997940267765,25.0208507089241,0,37.490627343164206,25.002083506958915,25.011463587477593
8141,Candelaria,2,3,5,-,-,-,5,63.451776649746186,52.23750652968832,56.21135469364812,0,0,0,28.56163601051068
8296,Galapa,3,62,65,1,19,20,85,25.367833587011667,277.0206871900272,190.01958663431463,9.200478424878094,82.04153892655123,58.77512636652169,124.56950245475196
8372,Juan de Acosta,1,18,19,-,5,5,24,26.838432635534083,217.81219748305907,158.465387823186,0,63.25110689437065,44.74673348845534,103.60904852357105
8421,Luruaco,-,13,13,-,7,7,20,0,129.26319976136026,84.44848642328179,0,68.51326221004209,45.251793910401446,64.80251433755629
8433,Malambo,7,94,101,7,69,76,177,29.66227382516208,200.3708993242811,143.23803040617202,30.339805825242717,142.2357815753128,106.17045946663315,124.56455188430276
8436,Manatí,-,7,7,1,2,3,10,0,101.14145354717526,62.78590008072473,26.336581511719782,29.052876234747238,28.087257747401928,45.80852038479157
8520,Palmar de Varela,1,12,13,1,4,5,18,20.580366330520683,109.27966487569438,82.07070707070707,21.101498206372653,36.314117113027685,31.737971308873938,56.97284294486295
8549,Piojó,1,2,3,-,1,1,4,88.73114463176576,75.47169811320754,79.42811755361397,0,42.08754208754208,29.078220412910728,55.432372505543235
8558,Polonuevo,-,19,19,-,6,6,25,0,277.6559988309221,188.82925859670044,0,88.75739644970413,60.99420555047271,125.63445399266294
8560,Ponedera,2,33,35,2,12,14,49,42.42681374628765,381.63524921938244,261.95644038619866,45.50625711035267,142.2137947380896,109.09374269461544,187.06574024585782
8573,Puerto Colombia,3,53,56,1,16,17,73,38.00354699771979,283.8930847929723,210.81956104355683,13.303179459890915,77.89299449880727,60.58878038349134,133.6482305340437
8606,Repelón,1,13,14,-,6,6,20,19.972039145196725,139.89023996556548,97.9020979020979,0,62.454460289372335,41.94044456871243,69.9154023631406
