CASOS Y TASAS X 100.00 HABITANTES",PRESUNTO DELITO SEXUAL (CASOS),PRESUNTO DELITO SEXUAL (CASOS).1,PRESUNTO DELITO SEXUAL (CASOS).2,PRESUNTO DELITO SEXUAL (CASOS).3,PRESUNTO DELITO SEXUAL (CASOS).4,PRESUNTO DELITO SEXUAL (CASOS).5,PRESUNTO DELITO SEXUAL (CASOS).6,PRESUNTO DELITO SEXUAL (CASOS).7,PRESUNTO DELITO SEXUAL (CASOS).8,PRESUNTO DELITO SEXUAL (TASAS),PRESUNTO DELITO SEXUAL (TASAS).1,PRESUNTO DELITO SEXUAL (TASAS).2,PRESUNTO DELITO SEXUAL (TASAS).3,PRESUNTO DELITO SEXUAL (TASAS).4,PRESUNTO DELITO SEXUAL (TASAS).5,PRESUNTO DELITO SEXUAL (TASAS).6,PRESUNTO DELITO SEXUAL (TASAS).7,PRESUNTO DELITO SEXUAL (TASAS).8
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5670,San Roque,1,-,-,1,4,-,-,4,5,30.58103975535168,0,-,9.017945711966815,125.7071024512885,0,-,36.89015954994005,22.797738464344338
5674,San Vicente Ferrer,-,-,-,-,2,1,-,3,3,0,0,-,0,68.68131868131869,12.451749470800648,-,27.414785707758384,13.147515119642389
5679,Santa Bárbara,-,-,-,-,12,2,-,14,14,0,0,-,0,395.6478733926805,18.394187436769982,-,100.67596720839924,50.70993914807302
5042,Santa Fé de Antioquia,1,-,-,1,16,3,-,19,20,25.833118057349523,0,-,7.352400558782443,437.39748496446146,29.5217476874631,-,137.4819102749638,72.93680026257248
5686,Santa Rosa de Osos,-,-,-,-,4,4,-,8,8,0,0,-,0,70.08936393902226,29.323363389780805,-,41.34794293983874,20.79920963003406
5690,Santo Domingo,-,-,-,-,1,-,-,1,1,0,0,-,0,63.85696040868455,0,-,16.608536787908985,7.990411506192569
5736,Segovia,2,-,-,2,15,2,-,17,19,29.1332847778587,0,-,10.030593309594263,231.76761433868973,14.728625082848515,-,84.783801306668,47.511877969492375
5756,Sonsón,2,-,-,2,12,9,-,21,23,36.64345914254306,0,-,10.68319000053416,235.8027117311849,67.24949562878278,-,113.68557817236899,61.83959347188987
5761,Sopetrán,1,-,-,1,4,1,-,5,6,49.97501249375312,0,-,12.69035532994924,195.3125,17.16738197424893,-,63.50819255683983,38.087983241287375
5789,Támesis,-,-,-,-,1,-,-,1,1,0,0,-,0,53.648068669527895,0,-,12.24889759921607,6.078288353999514
5790,Tarazá,2,-,-,2,8,1,-,9,11,35.05082369435682,0,-,14.221716561188936,146.3057790782736,11.238480557428636,-,62.64791869692329,38.69288402687397
5792,Tarso,-,-,-,-,2,-,-,2,2,0,0,-,0,242.71844660194174,0,-,63.03183107469272,31.60556257901391
5809,Titiribí,-,-,-,-,3,-,-,3,3,0,0,-,0,248.34437086092717,0,-,54.229934924078094,27.56086357372531
5819,Toledo,-,-,-,-,-,1,-,1,1,0,0,-,0,0,62.15040397762585,-,41.52823920265781,19.527436047646944
5837,Turbo,3,-,-,3,20,4,-,24,27,11.32802174980176,0,-,4.722252829416487,77.99703611262771,9.288285150354117,-,34.93093862342993,20.41804047309356
5842,Uramita,2,-,-,2,8,1,-,9,11,161.55088852988692,0,-,55.60189046427579,700.5253940455342,44.11116012351125,-,264.0070401877383,157.00827861832715
5847,Urrao,5,1,-,6,15,3,-,18,24,93.12721177127958,9.7551458394303,-,38.41229193341869,288.46153846153845,28.4765068818225,-,114.39466158245949,76.54281613777707
5854,Valdivia,1,-,-,1,6,-,-,6,7,36.98224852071006,0,-,14.007564084605686,237.0604504148558,0,-,83.5421888053467,48.8792682075274
5856,Valparaíso,-,-,-,-,1,-,-,1,1,0,0,-,0,139.08205841446454,0,-,30.883261272390367,15.216068167985393
5858,Vegachí,3,-,-,3,4,-,-,4,7,149.77533699450822,0,-,49.513120977058925,226.50056625141565,0,-,64.86135884546782,57.255030263373136
5861,Venecia,-,-,-,-,3,1,-,4,4,0,0,-,0,241.15755627009648,20.51702913418137,-,65.38084341288003,33.621921492813314
