 DIVIPOLA,"SUICIDIOS EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - SUICIDIO (CASOS),VIOLENTA - SUICIDIO (CASOS).1,VIOLENTA - SUICIDIO (CASOS).2,VIOLENTA - SUICIDIO (CASOS).3,VIOLENTA - SUICIDIO (CASOS).4,VIOLENTA - SUICIDIO (CASOS).5,VIOLENTA - SUICIDIO (CASOS).6,VIOLENTA - SUICIDIO (TASAS),VIOLENTA - SUICIDIO (TASAS).1,VIOLENTA - SUICIDIO (TASAS).2,VIOLENTA - SUICIDIO (TASAS).3,VIOLENTA - SUICIDIO (TASAS).4,VIOLENTA - SUICIDIO (TASAS).5,VIOLENTA - SUICIDIO (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
15494,Nuevo Colón,-,-,-,-,1,1,1,0,0,0,0,54.34782608695652,42.462845010615716,20.55076037813399
15507,Otanche,-,1,1,-,-,-,1,0,35.06311360448808,26.130128037627383,0,0,0,13.482540110556828
15516,Paipa,-,1,1,-,-,-,1,0,8.355614973262032,6.411900487304436,0,0,0,3.07540902940091
15531,Pauna,-,1,1,-,-,-,1,0,35.85514521333812,27.987685418415897,0,0,0,14.560279557367503
15542,Pesca,-,-,-,-,1,1,1,0,0,0,0,42.69854824935952,32.754667540124466,16.126431220770844
15550,Pisba,-,1,1,-,-,-,1,0,158.9825119236884,114.41647597254004,0,0,0,61.80469715698393
15572,Puerto Boyacá,-,2,2,-,-,-,2,0,12.05836247437598,9.088843444671665,0,0,0,4.503084612959877
15600,Ráquira,-,2,2,-,-,-,2,0,65.83278472679395,50.645733096986575,0,0,0,26.82763246143528
15621,Rondón,-,1,1,-,-,-,1,0,123.00123001230013,90.9090909090909,0,0,0,44.96402877697842
15632,Saboyá,-,1,1,-,-,-,1,0,21.39495079161318,16.015374759769376,0,0,0,7.81372089388967
15638,Sáchica,-,1,1,-,-,-,1,0,50.96839959225281,37.993920972644375,0,0,0,19.353590090961873
15646,Samacá,-,1,1,-,-,-,1,0,15.941335883947074,11.697274535033337,0,0,0,5.8530875036581795
15664,San José de Pare,-,1,1,-,-,-,1,0,51.5729757607014,41.203131437989285,0,0,0,21.44542140253056
15759,Sogamoso,1,2,3,4,2,6,9,7.824113919098662,4.36805206718064,5.122251058598552,33.83808476440233,3.77230374589762,9.253689908851156,7.292941243203384
15761,Somondoco,-,1,1,-,-,-,1,0,85.98452278589853,73.36757153338225,0,0,0,36.088054853843374
15763,Sotaquirá,-,1,1,-,1,1,2,0,34.35245620061835,25.614754098360656,0,35.86800573888092,27.122321670735015,26.346989856408904
15774,Susacón,-,1,1,-,-,-,1,0,94.87666034155598,75.18796992481204,0,0,0,39.15426781519186
15776,Sutamarchán,-,1,1,-,-,-,1,0,44.52359750667854,34.094783498124784,0,0,0,17.20282126268708
15804,Tibaná,-,5,5,-,1,1,6,0,157.28216420257942,120.54001928640308,0,29.09514111143439,23.10536044362292,70.78810759792356
15806,Tibasosa,-,4,4,-,-,-,4,0,84.13967185527977,65.25285481239804,0,0,0,31.992321842757736
15820,Tópaga,-,1,1,-,-,-,1,0,81.36696501220504,61.69031462060457,0,0,0,29.507229271171436
15001,Tunja,1,8,9,1,2,3,12,5.585032113934655,13.040997636319178,11.35646687697161,5.869922517022776,2.764836805507555,3.3567184720217513,7.116466911394056
15832,Tununguá,-,1,1,-,-,-,1,0,170.35775127768315,129.87012987012986,0,0,0,70.12622720897616
15837,Tuta,-,1,1,-,-,-,1,0,35.038542396636295,26.455026455026456,0,0,0,12.845215157353886
15839,Tutazá,-,1,1,-,-,-,1,0,149.2537313432836,112.23344556677891,0,0,0,53.70569280343716
15897,Zetaquira,-,-,-,-,1,1,1,0,0,0,0,59.73715651135006,46.75081813931744,23.089355806972986
17,Caldas,3,79,82,1,9,10,92,3.330040293487551,21.150592216582062,17.687623624625488,1.1592590016461477,2.18153259936881,2.0047472414677956,9.55926588994168
17013,Aguadas,-,2,2,-,-,-,2,0,23.537719195010006,18.721332958906675,0,0,0,9.271707384914931
17042,Anserma,-,3,3,1,1,2,5,0,21.70138888888889,17.362115863186528,31.026993484331367,7.0876745339854,11.539349180706209,14.446274305856518
17088,Belalcázar,-,1,1,-,1,1,2,0,26.75943270002676,20.337604230221682,0,26.483050847457626,20.631318341242007,20.48340843916428
17174,Chinchiná,-,1,1,-,1,1,2,0,5.258729490954986,4.238724991522551,0,4.660483758214102,3.8485221674876846,4.034210101662095
17272,Filadelfia,-,3,3,-,-,-,3,0,69.89748369058714,55.59673832468495,0,0,0,27.904380987815085
17380,La Dorada,1,8,9,-,1,1,10,13.679890560875513,30.783438510081577,27.028650369391556,0,3.512099181680891,2.796342384161517,14.48037185594926
17001,Manizales,-,35,35,-,2,2,37,0,21.137307952459174,17.49763781889445,0,1.0370700696392552,0.8836303067522611,8.677990271269286
17444,Marquetalia,-,1,1,-,-,-,1,0,20.68680182043856,15.865460891638904,0,0,0,7.990411506192569
17446,Marulanda,-,1,1,-,-,-,1,0,104.49320794148382,81.49959250203749,0,0,0,42.7715996578272
17486,Neira,2,3,5,-,-,-,5,93.19664492078284,38.85507058671157,50.67396371744198,0,0,0,25.274225344993177
