CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - PRESUNTO HOMICIDIO (CASOS),VIOLENTA - PRESUNTO HOMICIDIO (CASOS).1,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).2,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).3,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).4,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).5,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).6,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).7,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).8,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).9,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).10,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).11,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).12,VIOLENTA - PRESUNTO HOMICIDIO (TASAS),VIOLENTA - PRESUNTO HOMICIDIO (TASAS).1,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).2,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).3,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).4,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).5,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).6,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).7,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).8,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).9,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).10,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).11,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).12
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5368,Jericó,-,1,-,1,-,1,-,1,-,-,-,-,2,0,18.85014137606032,-,14.461315979754158,0,18.301610541727673,-,14.277555682467161,-,-,-,-,14.368848336805806
5376,La Ceja,2,6,-,8,-,-,-,-,-,-,-,-,8,24.47081854888046,23.608105449537675,-,23.818030248898417,0,0,-,0,-,-,-,-,11.527543624547905
5380,La Estrella,1,15,-,16,-,2,-,2,-,-,-,-,18,11.936022917164001,52.04538357447694,-,43.011908922282856,0,6.311537490532694,-,5.062650297430705,-,-,-,-,23.466833541927407
5390,La Pintada,-,5,-,5,-,1,-,1,-,-,-,-,6,0,159.1343093570974,-,115.31365313653137,0,31.665611146295124,-,23.49072116513977,-,-,-,-,69.82427557314092
5400,La Unión,1,4,-,5,-,1,-,1,-,-,-,-,6,31.60556257901391,49.73887092762995,-,44.61895413171515,0,11.732957878681216,-,8.668515950069349,-,-,-,-,26.38290387828687
5411,Liborina,-,2,-,2,-,-,-,-,-,-,-,-,2,0,53.66246310705661,-,38.03727653100038,0,0,-,0,-,-,-,-,19.517907680296673
5425,Maceo,-,6,-,6,-,-,-,-,-,-,-,-,6,0,210.01050052502626,-,144.23076923076923,0,0,-,0,-,-,-,-,71.63323782234957
5440,Marinilla,1,7,-,8,-,1,-,1,-,-,-,-,9,10.356255178127588,28.942363350698752,-,23.639264818864135,0,3.8195638058133765,-,2.847542570761433,-,-,-,-,13.051044083526683
5001,Medellín,8,363,-,371,2,31,-,33,-,-,-,-,404,2.784817176752346,39.19455724726799,-,30.57471396984229,0.720154977351126,2.864850228402495,-,2.426829259324356,-,-,-,-,15.700173323695603
5480,Mutatá,-,13,-,13,-,-,-,-,-,-,-,-,13,0,302.8890959925443,-,175.53335133675398,0,0,-,0,-,-,-,-,88.9679715302491
5483,Nariño,-,1,-,1,-,-,-,-,-,-,-,-,1,0,28.75215641173088,-,19.387359441644048,0,0,-,0,-,-,-,-,9.9000099000099
5495,Nechí,-,8,-,8,-,2,-,2,-,-,-,-,10,0,92.92600766639563,-,55.75689991636465,0,25.303643724696357,-,14.885382554331647,-,-,-,-,35.99193780593147
5490,Necoclí,-,9,-,9,-,-,-,-,-,-,-,-,9,0,70.61038757257178,-,40.68164353839895,0,0,-,0,-,-,-,-,20.08435428800964
5501,Olaya,-,3,-,3,-,-,-,-,-,-,-,-,3,0,258.6206896551724,-,184.50184501845018,0,0,-,0,-,-,-,-,93.05210918114143
5541,Peñol,1,5,-,6,-,-,-,-,-,-,-,-,6,34.21142661648991,63.44372541555641,-,55.53498704183636,0,0,-,0,-,-,-,-,27.14072465734835
5543,Peque,-,4,-,4,-,1,-,1,-,-,-,-,5,0,140.49877063575693,-,90.00900090009,0,38.47633705271259,-,25.188916876574307,-,-,-,-,59.424768243403854
5576,Pueblorrico,-,2,-,2,-,-,-,-,-,-,-,-,2,0,63.11139160618492,-,45.116174148432215,0,0,-,0,-,-,-,-,22.547914317925592
