Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Campesinos (as) y/o trabajadores (as) del campo,Comunidad LGBT,Concejales,Discapacitados,Ex convictos (as),Funcionarios judiciales,Grupos étnicos,Herido y/o enfermo bajo protección sanitaria o médica,Lider,Maestro/Educador,Miembros de Organizaciones No Gubernamentales (ONG) ,Pandillas,Persona adicta a una droga natural o sintética,Persona en condición de desplazamiento,Persona habitante de la calle,Personas bajo custodia,Personas desmovilizadas o reinsertadas,Personas en situación de prostitución,Personas que ejercen actividades de periodismo,Personas que ejercen actividades políticas,Personas que ejercen actividades relacionadas con la salud en zonas de conflicto,Presunto colaborador de grupo ilegal,Recicladores,Religiosos,Otro,Ninguno,Sin información ,TOTAL
Antioquia , Anzá,5044.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Antioquia , Anzá,5044.0,HOMBRE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Antioquia , Anzá,5044.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,Indeterminado,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,Indeterminado,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,INDETERMINADO,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anzá,5044.0,TOTAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Antioquia , Apartadó,5045.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Antioquia , Apartadó,5045.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
Antioquia , Apartadó,5045.0,HOMBRE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12
Antioquia , Apartadó,5045.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Antioquia , Apartadó,5045.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Antioquia , Apartadó,5045.0,Indeterminado,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,Indeterminado,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,INDETERMINADO,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,TOTAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14
Antioquia , Arboletes,5051.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Antioquia , Arboletes,5051.0,HOMBRE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Antioquia , Arboletes,5051.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Indeterminado,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Indeterminado,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,INDETERMINADO,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,TOTAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Antioquia , Argelia,5055.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Argelia,5055.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Antioquia , Argelia,5055.0,HOMBRE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Antioquia , Argelia,5055.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Argelia,5055.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Argelia,5055.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
