Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Antioquia , Concordia,5209.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Concordia,5209.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Concordia,5209.0,Mujer,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Concordia,5209.0,MUJER,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Concordia,5209.0,TOTAL,,0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Copacabana,5212.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Copacabana,5212.0,Hombre,Mayores de Edad (>18 años),0,0,9,0,0,0,0,0,0,0,0,9
Antioquia , Copacabana,5212.0,HOMBRE,TOTAL,0,0,9,0,0,0,0,0,0,0,0,9
Antioquia , Copacabana,5212.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Copacabana,5212.0,Mujer,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Copacabana,5212.0,MUJER,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Copacabana,5212.0,TOTAL,,0,0,10,0,0,0,0,0,0,0,0,10
Antioquia , Dabeiba,5234.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Dabeiba,5234.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Dabeiba,5234.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Dabeiba,5234.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Dabeiba,5234.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Dabeiba,5234.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Dabeiba,5234.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Donmatías,5237.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Donmatías,5237.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Donmatías,5237.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Donmatías,5237.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Donmatías,5237.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Donmatías,5237.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Donmatías,5237.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , El Carmen de Viboral,5148.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Carmen de Viboral,5148.0,Hombre,Mayores de Edad (>18 años),0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , El Carmen de Viboral,5148.0,HOMBRE,TOTAL,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , El Carmen de Viboral,5148.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Carmen de Viboral,5148.0,Mujer,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , El Carmen de Viboral,5148.0,MUJER,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
